Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Djibouti,DJI,,,,,,,,,,,,,,262558.4373,281128.1743,303281.6495,324514.3101,332616.0721
Dominica,DMA,13487.78776,13480.47797,13070.24089,13847.29716,14211.74782,14254.77933,14880.94962,15794.55109,16889.72198,16655.82979,16718.32307,16616.26788,16365.94442,16186.50552,16809.15387,16294.46161,16618.87059,14957.35543
Denmark,DNK,314108.1681,315561.0145,316021.3552,316392.2803,323995.8457,330654.3933,342465.4864,344050.23,340283.3941,321860.4786,326429.2498,329433.674,328939.6971,330628.5811,334283.3981,339706.1274,345153.9016,350699.0484
Dominican Republic,DOM,122509.7984,123581.692,127160.6574,123554.2971,124847.0566,134627.7548,144880.9189,153447.2171,156200.0036,155559.3635,166315.1033,169317.8651,171729.1444,177888.0425,189179.8977,200128.699,210949.3234,218129.9926
Algeria,DZA,107809.2292,109616.6249,114307.6169,120995.2078,124556.3779,130102.5648,130377.0443,132722.784,133670.3621,133534.5533,135889.6782,137153.9349,138965.8883,139933.5823,142359.0244,144907.6125,146981.825,146759.8726
Ecuador,ECU,2987.379595,3053.147983,3124.908698,3157.450852,3361.058213,3480.779613,3573.630676,3590.718086,3754.987035,3713.614509,3781.869928,4014.208273,4174.048452,4312.864368,4408.279461,4346.697065,4230.319093,4268.047944
"Egypt, Arab Rep.",EGY,14345.18865,14576.88072,14645.01406,14828.38045,15148.51374,15538.11416,16308.20514,17161.48824,18067.80952,18565.66708,19140.04357,19071.90046,19071.15232,19055.21562,19182.55939,19601.57637,20045.21308,20484.21788
Eritrea,ERI,2003.895631,2114.333178,2107.073293,1983.288237,1949.319615,1943.894682,1878.833206,1865.868272,1651.790421,1684.892725,1690.292154,1802.582972,,,,,,
Spain,ESP,21394.2001,22096.30101,22413.7842,22713.73527,23032.16109,23489.45912,24059.78613,24508.69676,24390.39941,23311.35299,23207.5357,22894.2502,22209.53923,21902.35981,22271.09202,23100.71872,23813.74804,24465.51663
Estonia,EST,7632.149379,8167.021608,8718.332403,9423.859213,10077.13067,11084.98511,12295.91212,13309.19981,12621.71133,10784.00767,11052.80467,11928.67793,12487.09394,12774.2938,13177.80175,13419.4181,13883.59221,14540.26017
Ethiopia,ETH,5785.762504,6087.208761,6003.671214,5708.089586,6302.194849,6853.915017,7391.928653,8020.106782,8652.023149,9167.706488,10049.30386,10881.79991,11516.22661,12406.95657,13331.30376,14347.44568,15051.06544,16189.35812
Finland,FIN,30541.85022,31258.81841,31707.12291,32262.33423,33431.76162,34243.75002,35495.91475,37177.80484,37271.81038,34026.66968,34884.90034,35616.24209,34941.63526,34517.36836,34157.75705,34215.88453,35063.39869,35909.09867
Fiji,FJI,6956.516889,7069.546731,7282.597332,7346.983571,7720.056846,7741.338522,7831.437943,7695.980772,7696.837574,7513.298755,7663.484621,7806.017281,7857.1936,8171.931137,8570.505732,8836.71371,8805.046397,9071.588136
France,FRA,29039.54387,29392.41277,29505.79666,29537.50662,30137.819,30392.38518,30898.01236,31432.59213,31318.4623,30241.2908,30683.76895,31205.28191,31151.86156,31170.52656,31317.94477,31534.63667,31776.80226,32344.66544
"Micronesia, Fed. Sts.",FSM,2210.922258,2255.156068,2272.544236,2320.408928,2252.803138,2307.386342,2315.534045,2283.185824,2245.372231,2283.124279,2337.477803,2419.170178,2370.23951,2274.41033,2218.676152,2318.771844,2323.788503,2384.357602
Gabon,GAB,2925879.359,2914637.963,2835167.246,2825246.622,2769535.37,2764774.289,2609589.925,2683992.656,2515437.381,2438804.395,2526594.678,2615070.322,2658833.146,2715319.618,2744232.349,2770243.352,2757310.646,2708914.96
United Kingdom,GBR,23024.54869,23519.60393,23995.8882,24678.78714,25118.98598,25719.49154,26158.17843,26566.97484,26234.14923,24946.12057,25291.66696,25507.48915,25697.29793,26048.16946,26614.69622,27024.2177,27312.03068,27629.74567
Georgia,GEO,2767.589015,2945.929957,3135.190177,3505.477741,3731.692074,4115.560501,4528.950129,5125.303176,5265.209236,5118.282323,5477.960134,5920.857301,6343.412015,6578.034464,6878.928122,7065.926896,7262.88756,7612.900522
Ghana,GHA,2784.721289,2824.109577,2876.703082,2948.992873,3034.043808,3130.202119,3244.47059,3297.988647,3507.288079,3584.09984,3771.267194,4196.638356,4477.674231,4693.267729,4718.864931,4713.226544,4767.88218,5044.047015
Guinea,GIN,3282318.2,3340731.704,3449362.001,3427719.219,3441256.528,3475005.916,3444252.895,3600949.991,3667661.648,3546492.577,3635614.781,3755794.156,3891172.329,3954837.446,4008042.178,4062520.195,4377033.37,4718893.566
"Gambia, The",GMB,25850.6346,26517.93062,24856.80316,25723.99911,26663.72998,25578.11143,25053.47235,25151.86132,25766.28927,26575.16026,27429.72398,25436.63116,26029.87837,26437.31512,25389.52781,26067.48792,25391.15344,25763.969
Guinea-Bissau,GNB,228345.703,228873.5728,222061.7647,218645.597,219834.1905,224150.8417,224159.9642,226145.1801,227892.112,229886.8427,234546.5601,247112.6154,236655.4106,238060.0399,234193.4101,242272.2126,251040.3764,259387.6998
Equatorial Guinea,GNQ,2224472.242,3489826.902,4002354.843,4375702.863,5786769.564,6466047.776,6657451.178,7331422.949,8247593.901,7984256.048,6950666.804,7082532.259,7344061.63,6747182.141,6501174.285,5677839.422,4997294.263,4578437.614
Greece,GRC,17574.00673,18205.20403,18850.14574,19894.88884,20850.1178,20913.62062,22029.48815,22692.79252,22556.77423,21529.96342,20324.11804,18495.36304,17238.074,16800.69949,17038.10314,17075.63952,17114.06501,17407.89908
Grenada,GRD,15488.2148,15140.48052,15622.40744,17054.97143,16898.16669,19086.59433,18269.51452,19327.03454,19445.58934,18095.87137,17937.82588,18006.58197,17730.07271,18073.6453,19318.72132,20474.32669,21141.40071,22106.34639
Greenland,GRL,181056.6655,182866.2609,180261.7729,187733.6387,200474.425,210076.4029,222376.4399,228489.0814,243555.6029,245686.4869,247394.7808,246231.3236,250015.8423,247201.8129,261204.3698,262859.5359,282639.8035,
Guatemala,GTM,12327.76503,12325.24206,12504.12219,12521.47754,12616.95552,12730.72654,13114.21326,13632.3354,13771.94232,13544.75812,13634.18323,13899.06405,14009.94359,14225.08649,14514.23014,14809.26919,14963.38012,15075.47011
Guam,GUM,,,27644.34547,27803.4924,29519.4783,30504.66535,29291.26116,29492.3043,29968.24598,30025.56035,30612.62889,30605.34325,31167.75956,31657.05378,32087.32225,32101.95492,31965.18024,31766.61856
Guyana,GUY,360190.1441,368909.0893,373275.5142,370928.8915,376830.5621,369826.1222,389494.3709,417800.8304,426947.0039,442481.021,460260.1814,482532.3722,505300.1563,527075.6027,543543.103,556995.7086,571902.6048,585181.1994
"Hong Kong SAR, China",HKG,212240.9602,211864.2301,214422.384,221412.4621,238805.6313,255331.2687,271538.4054,286618.4231,290971.5715,283205.8857,300159.7335,312502.6868,314326.9325,322775.6342,329370.4959,334376.9972,339500.0409,349744.9842
Honduras,HND,16347.26758,16368.98274,16562.61105,16895.58207,17524.1975,18157.85869,18919.32353,19655.97436,20059.15918,19175.91752,19503.6156,19871.43781,20317.11642,20517.29166,20781.24773,21214.15329,21642.92533,22306.05564
Croatia,HRV,57554.34085,61876.95112,65089.24213,68702.43203,71371.90912,74209.39076,77803.4645,81932.2316,83610.68114,77595.72017,76626.40818,76629.85175,75096.05768,74935.18464,75175.20458,77616.86598,80924.69467,84294.79985
Haiti,HTI,1499.078314,1458.956148,1431.869325,1414.374315,1343.205659,1346.160233,1355.07337,1378.773945,1369.186462,1390.223975,1294.512101,1346.434662,1365.872253,1404.246938,1424.496635,1423.094975,1425.630587,1424.770442
Hungary,HUN,2181407.155,2270386.149,2379961.242,2478646.408,2608470.419,2728356.445,2837845.726,2854602.379,2884069.385,2697897.6,2722453.638,2775435.949,2744293.424,2809474.882,2936063.958,3047134.822,3125844.906,3263828.829
Indonesia,IDN,19484342.83,19915013.83,20523897.19,21208867.05,21970089.99,22903436.16,23834756.11,25004283.49,26152131.57,26998988.07,28302888.04,29659798.64,31047022.89,32362911.41,33570450.89,34794095.06,36131960.72,37549345.88
Isle of Man,IMN,32382.0476,33825.51707,35482.04732,37364.60235,38914.17736,40789.44951,43475.59329,46228.94573,47904.33973,48422.61486,49601.88502,50163.53075,51357.31507,53271.18021,55543.96134,54662.17833,58307.55819,
India,IND,41087.62106,42328.97518,43200.15465,45829.61571,48665.35734,51695.80861,55004.28189,58329.37553,59252.56929,63009.68622,67435.94811,70045.5135,72941.69781,76659.31128,81366.44907,86852.74488,92875.64524,98417.36021
Ireland,IRL,32425.57604,33765.53789,35296.06714,35809.04259,37509.42858,38905.45321,39961.65985,40845.09975,38445.62731,36296.30919,36779.7119,37982.29336,37890.76552,38195.68279,41254.4297,51131.00985,53078.6467,56249.63049
"Iran, Islamic Rep.",IRN,61177977.19,60768006.51,64332752.64,69108837.27,71298564.38,72732130.95,75504343.41,80751685.55,80049159.14,79931631.48,83568083.16,84729061.82,77434606.46,76304431.71,78823841.36,76852336.43,86152249.42,88412349.76
Iraq,IRQ,4129834.262,4105486.311,3716811.006,2419730.645,3632544.185,3695256.806,3969297.923,3925822.949,4143615.445,4171409.92,4313243.775,4497745.725,4960480.25,5163162.558,5032519.92,4998765.682,5484745.762,5220598.437
Iceland,ISL,4468507.543,4582685.655,4566966.515,4642337.161,4973318.081,5208045.647,5342449.662,5700093.671,5687893.264,5299765.42,5259444.617,5342064.087,5382603.327,5552344.125,5605143.189,5794878.338,6135132.948,6234109.513
Israel,ISR,103332.2782,100950.626,99097.87029,98071.72573,100756.495,103087.7655,106558.9796,110727.027,112027.939,110893.2161,114633.7122,118125.6021,118418.8719,121046.8265,123374.012,124058.9791,126526.2965,128371.5818
Italy,ITA,27318.11404,27786.63112,27814.24324,27732.78262,27989.76592,28117.07104,28595.18954,28870.49951,28378.61924,26700.957,27067.88827,27177.18886,26339.96732,25586.43342,25381.5698,25640.7933,25978.60792,26426.50264
Jamaica,JAM,291536.9112,293234.2817,297045.4462,305998.7825,308201.1882,309154.9574,316319.1805,319092.9671,314840.3547,299687.3843,293942.2336,297716.9408,294688.6158,295050.1209,296013.3637,297667.7041,300790.7738,302794.2784
Jordan,JOR,1061.839165,1098.337108,1141.21337,1164.628369,1232.696937,1291.471289,1344.212124,1393.309652,1425.789444,1430.832477,1390.270272,1352.32248,1315.639582,1285.178138,1265.43453,1246.188487,1231.299809,1223.65117
Japan,JPN,3701653.916,3707750.373,3703503.578,3752063.968,3833494.609,3896866.975,3949698.882,4010423.185,3964647.218,3750374.125,3906878.27,3909603.818,3974398.37,4059749.837,4080373.339,4140005.626,4183667.233,4263241.799
Kazakhstan,KAZ,311409.2012,354051.0646,388732.0313,423457.1921,460895.0629,501127.5479,548911.7387,590966.2608,603075.5394,594428.8253,628871.3695,665808.2178,688006.6365,718864.5388,738106.493,736126.396,733715.4743,753477.6026
Kenya,KEN,64649.97447,65285.6431,63878.7139,63985.67427,65441.54415,67435.56745,69855.21719,72614.65126,70807.94789,71170.15387,75075.92717,77530.50303,78914.21111,81353.49866,83481.7732,85991.16624,88736.33822,90742.62621
Kyrgyz Republic,KGZ,4329.456945,4516.790803,4474.744264,4739.380842,5011.398868,4946.495874,5045.44688,5424.498368,5824.633256,5920.8359,5823.038308,6095.248794,5989.30468,6512.517711,6640.032611,6756.821786,6907.62089,7085.891823
Cambodia,KHM,1166409.231,1227992.673,1284723.088,1370314.012,1487676.136,1658535.989,1809324.655,1964621.317,2065307.37,2036334.126,2124807.639,2239163.523,2364059.859,2496445.291,2631300.058,2771638.418,2915871.113,3075480.436
Kiribati,KIR,1611.259863,1560.716532,1592.287877,1595.877158,1541.317841,1586.39805,1553.065988,1550.923571,1485.646079,1465.88378,1422.855863,1417.864241,1457.439524,1491.970332,1455.765993,1579.376729,1631.53984,1608.730391
St. Kitts and Nevis,KNA,31887.63913,33196.28719,33541.34877,31930.83461,32765.95259,35469.47654,36060.02731,35626.74224,37524.34005,35865.57111,34955.76266,35195.53589,34575.83514,36069.32237,37847.77976,38269.28095,38775.47687,38857.94912
"Korea, Rep.",KOR,17461748.25,18112445.21,19346502.41,19811026.11,20699533.23,21466160.08,22459016.52,23566673.47,24050115.64,24095935.26,25533864.88,26271145.85,26732478.68,27381774.97,28119533.94,28752128.27,29461101.98,30233342.85
Kuwait,KWT,10258.19062,10045.84653,10180.81366,11804.90015,12845.46933,13713.18624,14120.28421,14212.13984,13746.77153,12019.09169,11033.41702,11364.31226,11387.56068,10869.1538,10392.02104,10046.35913,10102.91212,9614.174013
Lao PDR,LAO,6594129.185,6863573.863,7160438.845,7482725.53,7839105.821,8265792.489,8831920.046,9342459.758,9903054.653,10473178.27,11194733.34,11928094.2,12721389,13574461.32,14425958.21,15271316.66,16115580.05,16975690.27
Lebanon,LBN,10235792.54,10234983.26,10095629.41,9918503.22,10101195.51,10057092.16,10050487.96,10910998.41,11848865.88,12815421.08,13353863.09,12738537,12221421.31,11690316.62,11224465.55,10774515.45,10678854.55,10707224.69
Liberia,LBR,333.9715558,331.473402,335.8917131,230.6182176,232.1762528,238.0807855,248.4988912,261.5714452,268.781076,271.9983429,278.6051607,292.4139968,307.3764762,325.9667157,320.4438116,312.6895576,300.0718927,299.806505
Libya,LBY,5708.81656,5520.749128,5381.803577,5986.518403,6156.263569,6782.516165,7114.420205,7453.651889,7547.895467,7405.098436,7716.310539,2914.829593,6499.146034,5617.335736,4263.575231,3866.511114,3723.607568,4656.707541
St. Lucia,LCA,16961.80861,16252.48637,16176.90141,16751.53908,17824.09415,17596.91047,18508.78016,18551.55899,19313.85297,18905.56186,18766.14787,19286.10555,19054.78994,18714.34817,19297.52467,19032.43005,19583.49577,20236.8841
Liechtenstein,LIE,123090.9347,120791.4405,118370.9865,115052.6902,117607.0048,122379.5869,132038.647,135553.4225,137140.5068,134700.3804,,,,,,,,
Sri Lanka,LKA,206311.1756,201714.6635,208102.8317,218674.7708,228710.3031,241093.9141,257660.3475,273219.6028,287516.5137,295774.7754,317534.2303,342245.354,371530.8056,381161.1584,396353.3091,412469.3915,426085.4691,435236.7451
Lesotho,LSO,7160.667168,7347.848496,7337.397178,7608.829587,7675.05371,7876.661211,8142.528287,8464.46371,8955.224676,9060.803146,9510.457966,10050.49354,10522.00854,10577.17061,10762.87571,10913.86054,11111.73082,10714.17762
Lithuania,LTU,5235.17052,5622.878238,6051.41114,6743.698739,7266.562987,7956.596032,8683.41648,9761.417407,10121.51971,8718.369852,9049.114514,9815.151538,10328.3724,10798.44886,11277.00032,11613.60972,12038.90893,12713.85704
Luxembourg,LUX,70568.7096,71499.23787,73456.50922,73751.62855,75337.22918,76547.04208,79237.01488,84541.13706,81980.78175,76968.9905,79253.52449,79479.61694,77320.08528,78314.58149,79776.93194,80967.44932,81151.86233,80427.07299
Latvia,LVA,5236.027539,5646.802329,6118.572938,6698.836734,7336.854133,8209.916567,9270.673746,10279.37555,10019.44683,8719.252135,8551.804839,9264.658745,9758.749242,10103.50697,10388.62975,10785.2798,11108.99003,11727.5281
"Macao SAR, China",MAC,255627.0284,256945.6333,273190.2267,297567.9511,368138.4995,388652.9937,430793.3998,482754.8564,488923.8414,485042.251,594395.5796,706800.937,754120.2174,819200.0917,791572.758,608076.9858,591774.7935,634818.4211
Morocco,MAR,15705.20355,16652.26333,16966.79259,17764.44159,18396.9631,18780.0188,19968.32896,20434.49261,21390.13135,22024.19894,22568.45082,23427.1215,23787.65794,24504.31046,24794.83167,25555.386,25492.45258,26185.95098
Monaco,MCO,104931.6451,106306.0933,106511.9155,106676.3816,108061.6474,108549.1078,112796.4427,126487.4256,124776.1694,108591.9965,109149.7277,115614.5825,115869.571,126330.6207,134829.015,140846.3205,144647.9129,
Moldova,MDA,4401.47,4680.414637,5057.184834,5406.161078,5820.602257,6272.390059,6591.759393,6805.264935,7350.052772,6917.77696,7416.341736,7925.234088,7870.78993,8612.95016,9031.876812,9001.542947,9412.316798,9843.514278
